local_file_weight, rouge_1_f1_score, rouge_1_precision, rouge_1_recall, rouge_2_f1_score, rouge_2_precision, rouge_2_recall, rouge_l_f1_score, rouge_l_precision, rouge_l_recall, bleu_1, bleu_2, bleu_3, bleu_4
37, 0.342195, 0.264389, 0.541496, 0.130462, 0.0948214, 0.240781, 0.312948, 0.242134, 0.493204, 0.247024, 0.0944034, 0.0509626, 0.0350479
38, 0.342195, 0.264389, 0.541496, 0.130455, 0.0948166, 0.240781, 0.312948, 0.242134, 0.493204, 0.247019, 0.0944005, 0.0509606, 0.0350462
39, 0.342195, 0.264389, 0.541496, 0.130415, 0.0947719, 0.240781, 0.312948, 0.242134, 0.493204, 0.247005, 0.0943957, 0.050959, 0.0350459
40, 0.342195, 0.264389, 0.541496, 0.130429, 0.0947815, 0.240781, 0.312948, 0.242134, 0.493204, 0.247005, 0.0943957, 0.050959, 0.0350459
41, 0.342195, 0.264389, 0.541496, 0.130429, 0.0947815, 0.240781, 0.312948, 0.242134, 0.493204, 0.24699, 0.094342, 0.050953, 0.0350408
42, 0.342195, 0.264389, 0.541496, 0.130429, 0.0947815, 0.240781, 0.312948, 0.242134, 0.493204, 0.24699, 0.094342, 0.050953, 0.0350408
43, 0.342195, 0.264389, 0.541496, 0.130429, 0.0947815, 0.240781, 0.312948, 0.242134, 0.493204, 0.24699, 0.094342, 0.050953, 0.0350408
44, 0.342195, 0.264389, 0.541496, 0.130429, 0.0947815, 0.240781, 0.312948, 0.242134, 0.493204, 0.24699, 0.094342, 0.050953, 0.0350408
45, 0.342195, 0.264389, 0.541496, 0.130429, 0.0947815, 0.240781, 0.312948, 0.242134, 0.493204, 0.24699, 0.094342, 0.050953, 0.0350408
46, 0.342449, 0.264549, 0.542102, 0.13045, 0.0948092, 0.240781, 0.313199, 0.242291, 0.49381, 0.246958, 0.0943446, 0.0509232, 0.0350155
47, 0.342449, 0.264549, 0.542102, 0.130443, 0.0948044, 0.240781, 0.313199, 0.242291, 0.49381, 0.246958, 0.0943446, 0.0509232, 0.0350155
48, 0.342449, 0.264549, 0.542102, 0.130443, 0.0948044, 0.240781, 0.313199, 0.242291, 0.49381, 0.246978, 0.0944008, 0.0509311, 0.0350222
49, 0.342449, 0.264549, 0.542102, 0.13042, 0.0947732, 0.240781, 0.313199, 0.242291, 0.49381, 0.246854, 0.0944268, 0.0509466, 0.035034
50, 0.34272, 0.264683, 0.542768, 0.130413, 0.0946913, 0.241284, 0.312578, 0.241755, 0.493143, 0.246364, 0.0944948, 0.0509878, 0.0349939
51, 0.34272, 0.264683, 0.542768, 0.13044, 0.0947164, 0.241284, 0.312578, 0.241755, 0.493143, 0.246364, 0.0944948, 0.0509878, 0.0349939
52, 0.34272, 0.264683, 0.542768, 0.130447, 0.0947212, 0.241284, 0.312578, 0.241755, 0.493143, 0.246364, 0.0944948, 0.0509878, 0.0349939
53, 0.34272, 0.264683, 0.542768, 0.13044, 0.0947164, 0.241284, 0.312578, 0.241755, 0.493143, 0.246364, 0.0944948, 0.0509878, 0.0349939
54, 0.34272, 0.264683, 0.542768, 0.1304, 0.0946762, 0.241284, 0.312578, 0.241755, 0.493143, 0.246364, 0.0944948, 0.0509878, 0.0349939
55, 0.34272, 0.264683, 0.542768, 0.1304, 0.0946762, 0.241284, 0.312578, 0.241755, 0.493143, 0.246418, 0.0943991, 0.0510058, 0.035008
56, 0.343181, 0.265214, 0.542768, 0.131478, 0.0954131, 0.243294, 0.313913, 0.242935, 0.494477, 0.246076, 0.0947121, 0.0512522, 0.035159
57, 0.343181, 0.265214, 0.542768, 0.131483, 0.095422, 0.243294, 0.313913, 0.242935, 0.494477, 0.246006, 0.0947979, 0.0512303, 0.0351426
58, 0.343181, 0.265214, 0.542768, 0.131483, 0.095422, 0.243294, 0.313416, 0.24254, 0.49381, 0.245948, 0.0947834, 0.0512281, 0.0351443
59, 0.343181, 0.265214, 0.542768, 0.131511, 0.0954484, 0.243294, 0.313416, 0.24254, 0.49381, 0.245462, 0.0944693, 0.0510148, 0.034978
60, 0.342811, 0.264586, 0.543821, 0.130903, 0.0948468, 0.243294, 0.313066, 0.241934, 0.494863, 0.24485, 0.0940752, 0.0507425, 0.0347704
61, 0.342811, 0.264586, 0.543821, 0.130924, 0.0948684, 0.243294, 0.313066, 0.241934, 0.494863, 0.244811, 0.0940555, 0.0507292, 0.0347603
62, 0.341784, 0.263502, 0.543154, 0.128951, 0.0932821, 0.240947, 0.312099, 0.240927, 0.494196, 0.243281, 0.0924342, 0.0494801, 0.0337612
63, 0.341784, 0.263502, 0.543154, 0.128965, 0.0932917, 0.240947, 0.312099, 0.240927, 0.494196, 0.243261, 0.092378, 0.0494722, 0.0337545
64, 0.341784, 0.263502, 0.543154, 0.128917, 0.0932376, 0.240947, 0.312099, 0.240927, 0.494196, 0.243261, 0.092378, 0.0494722, 0.0337545
65, 0.341868, 0.26342, 0.543821, 0.129145, 0.0933162, 0.241952, 0.312208, 0.240873, 0.494863, 0.243111, 0.0927007, 0.0498373, 0.0340245
66, 0.341868, 0.26342, 0.543821, 0.129152, 0.093321, 0.241952, 0.312208, 0.240873, 0.494863, 0.243081, 0.0926902, 0.0498326, 0.0340226
67, 0.341868, 0.26342, 0.543821, 0.129124, 0.093295, 0.241952, 0.312208, 0.240873, 0.494863, 0.243033, 0.0926645, 0.0498148, 0.0340088
68, 0.341868, 0.26342, 0.543821, 0.129131, 0.0932998, 0.241952, 0.312208, 0.240873, 0.494863, 0.243033, 0.0926645, 0.0498148, 0.0340088
69, 0.342651, 0.264428, 0.543215, 0.129462, 0.0935904, 0.241952, 0.312921, 0.241803, 0.494257, 0.243159, 0.0926956, 0.0498366, 0.0340273
70, 0.342651, 0.264428, 0.543215, 0.129497, 0.0936222, 0.241952, 0.312921, 0.241803, 0.494257, 0.243159, 0.0926956, 0.0498366, 0.0340273
71, 0.342413, 0.264197, 0.543215, 0.129582, 0.0936346, 0.242569, 0.312707, 0.241596, 0.494257, 0.243078, 0.092718, 0.0498464, 0.0339643
72, 0.342413, 0.264197, 0.543215, 0.129575, 0.0936298, 0.242569, 0.312707, 0.241596, 0.494257, 0.243096, 0.0927254, 0.0498499, 0.0339662
73, 0.342413, 0.264197, 0.543215, 0.129579, 0.0936287, 0.242569, 0.312707, 0.241596, 0.494257, 0.243091, 0.0927225, 0.0498479, 0.0339645
74, 0.342413, 0.264197, 0.543215, 0.129579, 0.0936287, 0.242569, 0.312707, 0.241596, 0.494257, 0.243053, 0.0926486, 0.0498767, 0.033987
75, 0.342873, 0.264755, 0.543215, 0.129999, 0.0938877, 0.243574, 0.313138, 0.242117, 0.494257, 0.242707, 0.0928455, 0.0498585, 0.033885
76, 0.343071, 0.264869, 0.543856, 0.129969, 0.0938659, 0.243574, 0.314094, 0.242787, 0.496205, 0.24269, 0.092886, 0.0498445, 0.0338794
77, 0.343416, 0.265061, 0.544523, 0.130628, 0.0942603, 0.244982, 0.315908, 0.244143, 0.498872, 0.242017, 0.0929381, 0.0497137, 0.0338054
78, 0.344224, 0.266035, 0.544523, 0.131001, 0.0946166, 0.244982, 0.316663, 0.245051, 0.498872, 0.241755, 0.0927651, 0.0496669, 0.0337693
79, 0.342759, 0.264736, 0.543627, 0.129707, 0.0936, 0.243549, 0.31474, 0.243376, 0.49731, 0.241222, 0.0920809, 0.0493149, 0.033577
80, 0.343452, 0.265478, 0.543627, 0.1302, 0.0940903, 0.243549, 0.31542, 0.244104, 0.49731, 0.241887, 0.0923867, 0.0495262, 0.033738
81, 0.343452, 0.265478, 0.543627, 0.130226, 0.0941113, 0.243549, 0.31542, 0.244104, 0.49731, 0.241887, 0.0923867, 0.0495262, 0.033738
82, 0.345514, 0.267359, 0.54547, 0.131192, 0.0949042, 0.244349, 0.318364, 0.2467, 0.500329, 0.241826, 0.0928893, 0.0499169, 0.0339632
83, 0.345514, 0.267359, 0.54547, 0.131199, 0.0949091, 0.244349, 0.318364, 0.2467, 0.500329, 0.24187, 0.0929637, 0.0498912, 0.0339433
84, 0.345734, 0.267473, 0.546058, 0.130922, 0.0947221, 0.243731, 0.318607, 0.246838, 0.500917, 0.24175, 0.0929849, 0.0499239, 0.033967
85, 0.346256, 0.267884, 0.546664, 0.130909, 0.0947076, 0.243731, 0.318612, 0.246839, 0.500857, 0.241912, 0.0930536, 0.0500058, 0.0339476
86, 0.347097, 0.268107, 0.548429, 0.131087, 0.094558, 0.244749, 0.319209, 0.246944, 0.50198, 0.239742, 0.0921475, 0.0493554, 0.0335048
87, 0.347097, 0.268107, 0.548429, 0.131038, 0.0945026, 0.244749, 0.319209, 0.246944, 0.50198, 0.23971, 0.0920534, 0.0493628, 0.0334811
88, 0.347876, 0.267505, 0.550377, 0.131485, 0.0944506, 0.245734, 0.320467, 0.246756, 0.504595, 0.238375, 0.0917962, 0.0490133, 0.0332706
89, 0.347876, 0.267505, 0.550377, 0.131492, 0.0944555, 0.245734, 0.32073, 0.246921, 0.505236, 0.238315, 0.0921071, 0.0489732, 0.0332407
90, 0.347427, 0.267194, 0.549522, 0.131076, 0.0941418, 0.245117, 0.320277, 0.246608, 0.504382, 0.238053, 0.0919617, 0.0487612, 0.0331607
91, 0.345493, 0.266005, 0.547292, 0.132662, 0.0952277, 0.249433, 0.319312, 0.246166, 0.503406, 0.23693, 0.0923074, 0.0485822, 0.0329007
92, 0.344723, 0.26586, 0.545292, 0.132152, 0.095033, 0.247547, 0.318513, 0.245969, 0.501406, 0.235512, 0.0916196, 0.0482028, 0.0327217
93, 0.345394, 0.266041, 0.54964, 0.131883, 0.0947083, 0.249369, 0.320271, 0.246896, 0.50782, 0.234669, 0.0917651, 0.0480382, 0.032536
94, 0.347307, 0.267075, 0.553092, 0.136248, 0.097981, 0.255898, 0.321662, 0.247498, 0.510623, 0.234719, 0.094397, 0.0505667, 0.0345651
95, 0.345419, 0.265772, 0.549673, 0.134511, 0.0968491, 0.252194, 0.319767, 0.246188, 0.507204, 0.23423, 0.0934959, 0.0494473, 0.0335546
96, 0.344466, 0.26499, 0.548496, 0.133312, 0.0958792, 0.250594, 0.31875, 0.24531, 0.506045, 0.233141, 0.0926727, 0.049294, 0.0336584
97, 0.343799, 0.262944, 0.550855, 0.132752, 0.0949424, 0.251336, 0.317729, 0.243118, 0.507549, 0.231735, 0.0918595, 0.0496159, 0.0341095
98, 0.342019, 0.261935, 0.54496, 0.133629, 0.0955042, 0.253048, 0.31694, 0.2428, 0.503624, 0.230726, 0.0917409, 0.0498536, 0.0344102
99, 0.341955, 0.262205, 0.543635, 0.134343, 0.0962015, 0.253564, 0.316603, 0.242798, 0.502274, 0.231186, 0.092494, 0.050477, 0.0349221
100, 0.343362, 0.263033, 0.546793, 0.135234, 0.0966878, 0.255964, 0.318021, 0.243637, 0.505432, 0.231091, 0.0928526, 0.0504327, 0.0347111
