local_file_weight, local_file, rouge-1 f1-score, rouge-1 precision, rouge-1 recall,rouge-2 f1-score, rouge-2 precision, rouge-2 recall, rouge-l f1-score, rouge-l precision, rouge-l recall, bleu-1, bleu-2, bleu-3, bleu-4
1,0,0.26487092851976557,0.162534435261708,0.7151515151515152,0.12192262358279658,0.0710868079289132,0.4279835390946502,0.23569023267240305,0.1446280991735537,0.6363636363636364,0.11476909007773206,0.06312900274473925,0.044851258581235696,0.03846153846153846
1,1,0.35960590667087294,0.28515625,0.4866666666666667,0.11708860312615182,0.0883054892601432,0.17370892018779344,0.3300492564245675,0.26171875,0.44666666666666666,0.2992831541218638,0.11131059245960502,0.05395683453237411,0.03243243243243243
1,2,0.33173076518780054,0.23076923076923078,0.5897435897435898,0.12383900553019786,0.08264462809917356,0.24691358024691357,0.29807691903395434,0.20735785953177258,0.5299145299145299,0.16514806378132119,0.06727480045610036,0.0319634703196347,0.018285714285714284
1,3,0.3469387711358693,0.2562814070351759,0.5368421052631579,0.16981131659676496,0.12040133779264214,0.288,0.34013605004743397,0.25125628140703515,0.5263157894736842,0.2536585365853658,0.11735941320293396,0.08088235294117649,0.06142506142506144
1,4,0.24769433138506566,0.1558872305140962,0.6025641025641025,0.06776989479514231,0.04060434372049103,0.20476190476190476,0.21870882413868886,0.13764510779436154,0.532051282051282,0.1377072819033886,0.048340548340548344,0.021660649819494584,0.008670520231213872
1,5,0.2671755686390654,0.18134715025906736,0.5072463768115942,0.08333332978533965,0.05415162454873646,0.18072289156626506,0.23664121749402717,0.16062176165803108,0.4492753623188406,0.21203438395415472,0.0574712643678161,0.028818443804034585,0.020231213872832374
1,6,0.4110854454104507,0.36929460580912865,0.4635416666666667,0.1486675969193245,0.12211981566820276,0.18996415770609318,0.360277131322691,0.3236514522821577,0.40625,0.3103448275862069,0.1102257636122178,0.04388297872340426,0.021304926764314253
1,7,0.4298507413011361,0.39779005524861877,0.4675324675324675,0.12916666178550365,0.11191335740072202,0.15270935960591134,0.40597014428621075,0.3756906077348066,0.44155844155844154,0.3972602739726027,0.12362637362637363,0.04958677685950414,0.03038674033149172
1,8,0.3999999955061984,0.30344827586206896,0.5866666666666667,0.19101123192751082,0.13255360623781676,0.3417085427135678,0.37272726823347113,0.2827586206896552,0.5466666666666666,0.22305764411027568,0.10790464240903386,0.07286432160804021,0.05786163522012578
1,9,0.35897435418955564,0.2972972972972973,0.45294117647058824,0.14953270552498535,0.12244897959183673,0.192,0.32167831689351833,0.26640926640926643,0.40588235294117647,0.3578336557059962,0.13372093023255813,0.07961165048543689,0.060311284046692615
2,0,0.26487092851976557,0.162534435261708,0.7151515151515152,0.12192262358279658,0.0710868079289132,0.4279835390946502,0.23569023267240305,0.1446280991735537,0.6363636363636364,0.11476909007773206,0.06312900274473925,0.044851258581235696,0.03846153846153846
2,1,0.35960590667087294,0.28515625,0.4866666666666667,0.11708860312615182,0.0883054892601432,0.17370892018779344,0.3300492564245675,0.26171875,0.44666666666666666,0.2992831541218638,0.11131059245960502,0.05395683453237411,0.03243243243243243
2,2,0.33173076518780054,0.23076923076923078,0.5897435897435898,0.12383900553019786,0.08264462809917356,0.24691358024691357,0.29807691903395434,0.20735785953177258,0.5299145299145299,0.16514806378132119,0.06727480045610036,0.0319634703196347,0.018285714285714284
2,3,0.3469387711358693,0.2562814070351759,0.5368421052631579,0.16981131659676496,0.12040133779264214,0.288,0.34013605004743397,0.25125628140703515,0.5263157894736842,0.2536585365853658,0.11735941320293396,0.08088235294117649,0.06142506142506144
2,4,0.24769433138506566,0.1558872305140962,0.6025641025641025,0.06776989479514231,0.04060434372049103,0.20476190476190476,0.21870882413868886,0.13764510779436154,0.532051282051282,0.1377072819033886,0.048340548340548344,0.021660649819494584,0.008670520231213872
2,5,0.2671755686390654,0.18134715025906736,0.5072463768115942,0.08333332978533965,0.05415162454873646,0.18072289156626506,0.23664121749402717,0.16062176165803108,0.4492753623188406,0.21203438395415472,0.0574712643678161,0.028818443804034585,0.020231213872832374
2,6,0.4110854454104507,0.36929460580912865,0.4635416666666667,0.1486675969193245,0.12211981566820276,0.18996415770609318,0.360277131322691,0.3236514522821577,0.40625,0.3103448275862069,0.1102257636122178,0.04388297872340426,0.021304926764314253
2,7,0.4298507413011361,0.39779005524861877,0.4675324675324675,0.12916666178550365,0.11191335740072202,0.15270935960591134,0.40597014428621075,0.3756906077348066,0.44155844155844154,0.3972602739726027,0.12362637362637363,0.04958677685950414,0.03038674033149172
2,8,0.3999999955061984,0.30344827586206896,0.5866666666666667,0.19101123192751082,0.13255360623781676,0.3417085427135678,0.37272726823347113,0.2827586206896552,0.5466666666666666,0.22305764411027568,0.10790464240903386,0.07286432160804021,0.05786163522012578
2,9,0.35897435418955564,0.2972972972972973,0.45294117647058824,0.14953270552498535,0.12244897959183673,0.192,0.32167831689351833,0.26640926640926643,0.40588235294117647,0.3578336557059962,0.13372093023255813,0.07961165048543689,0.060311284046692615
3,0,0.26145251095908373,0.16027397260273973,0.7090909090909091,0.1209302301317537,0.07041299932295193,0.4279835390946502,0.23240223162947474,0.14246575342465753,0.6303030303030303,0.11424670004551661,0.06238615664845174,0.04419134396355354,0.03783044667274385
3,1,0.35960590667087294,0.28515625,0.4866666666666667,0.11708860312615182,0.0883054892601432,0.17370892018779344,0.3300492564245675,0.26171875,0.44666666666666666,0.2992831541218638,0.11131059245960502,0.05395683453237411,0.03243243243243243
3,2,0.33173076518780054,0.23076923076923078,0.5897435897435898,0.12383900553019786,0.08264462809917356,0.24691358024691357,0.29807691903395434,0.20735785953177258,0.5299145299145299,0.16477272727272724,0.0671217292377702,0.03189066059225513,0.01824401368301027
3,3,0.3469387711358693,0.2562814070351759,0.5368421052631579,0.16981131659676496,0.12040133779264214,0.288,0.34013605004743397,0.25125628140703515,0.5263157894736842,0.2536585365853658,0.11735941320293396,0.08088235294117649,0.06142506142506144
3,4,0.24769433138506566,0.1558872305140962,0.6025641025641025,0.06776989479514231,0.04060434372049103,0.20476190476190476,0.21870882413868886,0.13764510779436154,0.532051282051282,0.1377072819033886,0.048340548340548344,0.021660649819494584,0.008670520231213872
