local_file, rouge-1 f1-score, rouge-1 precision, rouge-1 recall,rouge-2 f1-score, rouge-2 precision, rouge-2 recall, rouge-l f1-score, rouge-l precision, rouge-l recall, bleu-1, bleu-2, bleu-3, bleu-4
4122,0.14014933681571695,0.08310626702997276,0.4468864468864469,0.03739882570275857,0.021222679759265124,0.1572769953051643,0.1309592161953838,0.0776566757493188,0.4175824175824176,0.07133446263881045,0.02259036144578313,0.0071549614008661255,0.004143126177024482
4123,0.3025718569669117,0.20449897750511248,0.5813953488372093,0.11861313527587056,0.07584597432905485,0.2719665271966527,0.28744326392606445,0.19427402862985685,0.5523255813953488,0.19158075601374572,0.08684436801375754,0.04388984509466436,0.026701119724375538
4124,0.3721881347443345,0.2716417910447761,0.5909090909090909,0.14285713882320986,0.09923664122137404,0.2549019607843137,0.331288339243312,0.2417910447761194,0.525974025974026,0.22265625000000003,0.10039113428943938,0.06005221932114882,0.037908496732026134
4125,0.27629512990465016,0.17922606924643583,0.6027397260273972,0.10188989044436905,0.060903732809430254,0.31155778894472363,0.2700156950537868,0.17515274949083504,0.589041095890411,0.14042867701404288,0.0628698224852071,0.036269430051813475,0.026666666666666665
4126,0.19377162137091283,0.1728395061728395,0.2204724409448819,0.01639343771626651,0.014423076923076924,0.0189873417721519,0.1522491300214319,0.13580246913580246,0.1732283464566929,0.2932330827067669,0.04150943396226415,0.015151515151515157,0.007604562737642585
4127,0.3725910019890963,0.27884615384615385,0.5612903225806452,0.2183288368207148,0.15458015267175573,0.37155963302752293,0.34261241526532743,0.2564102564102564,0.5161290322580645,0.2621502209131075,0.1504424778761062,0.11669128508124077,0.10059171597633138
4128,0.09394145554580227,0.05027322404371585,0.7150259067357513,0.02201546257650169,0.011400651465798045,0.3193916349809886,0.08849557399372604,0.04735883424408015,0.6735751295336787,0.022903392457379025,0.01128046155170929,0.004908715122287287,0.0029282576866764276
4129,0.3608247372871719,0.38461538461538464,0.33980582524271846,0.1904761855017008,0.20512820512820512,0.17777777777777778,0.340206180586141,0.3626373626373626,0.32038834951456313,0.3826262442158017,0.18967104592755088,0.10478937178712786,0.05589384448265201
413,0.39473683724709147,0.33783783783783783,0.47468354430379744,0.14393938908466786,0.12297734627831715,0.1735159817351598,0.3684210477734072,0.3153153153153153,0.4430379746835443,0.37777777777777777,0.12871287128712874,0.0694789081885856,0.0572139303482587
4130,0.4545454495921036,0.41450777202072536,0.5031446540880503,0.20907297343136924,0.18027210884353742,0.24882629107981222,0.4261363586830127,0.38860103626943004,0.4716981132075472,0.4603174603174603,0.22015915119363394,0.13031914893617025,0.08266666666666668
4131,0.2795031020389088,0.1816958277254374,0.6053811659192825,0.12157329852219219,0.0746705710102489,0.3269230769230769,0.271221528539944,0.17631224764468373,0.5874439461883408,0.1683867463335144,0.08478260869565217,0.04622077215878195,0.030467899891186073
4132,0.379999995882,0.2676056338028169,0.6551724137931034,0.24832214403530475,0.1627088830255057,0.5240793201133145,0.37249999588199995,0.2623239436619718,0.6422413793103449,0.22975301550832855,0.15172413793103448,0.12363427257044277,0.11047180667433829
