local_file_weight, local_file, rouge-1 f1-score, rouge-1 precision, rouge-1 recall,rouge-2 f1-score, rouge-2 precision, rouge-2 recall, rouge-l f1-score, rouge-l precision, rouge-l recall, bleu-1, bleu-2, bleu-3. bleu-4
3,0,0.26875699586757273,0.16483516483516483,0.7272727272727273,0.12296983516532671,0.07157326130992572,0.43621399176954734,0.23964165432222,0.14697802197802198,0.6484848484848484,0.11379928315412186,0.06275212909009413,0.04394618834080718,0.037236428891879766
3,1,0.3512195075550268,0.27692307692307694,0.48,0.10393700341566142,0.07819905213270142,0.15492957746478872,0.3170731660916122,0.25,0.43333333333333335,0.2887323943661972,0.09876543209876543,0.044169611307420496,0.0247787610619469
3,10,0.35294117196270663,0.26865671641791045,0.5142857142857142,0.1566265017673103,0.11304347826086956,0.2549019607843137,0.33823528960976557,0.2574626865671642,0.4928571428571429,0.25801749271137026,0.11824817518248176,0.06871345029239767,0.04831625183016105
3,2,0.3301435366386988,0.2292358803986711,0.5897435897435898,0.12257099782447545,0.08086785009861933,0.25308641975308643,0.2966507136721916,0.2059800664451827,0.5299145299145299,0.16100766703176342,0.0668859649122807,0.0318331503841932,0.01758241758241759
3,3,0.35294117205732695,0.26288659793814434,0.5368421052631579,0.1722487996354251,0.12286689419795221,0.288,0.34602075683241346,0.25773195876288657,0.5263157894736842,0.25870646766169153,0.11970074812967582,0.08249999999999999,0.06265664160401002
3,4,0.24967148162888242,0.15702479338842976,0.6089743589743589,0.0673981163724316,0.040337711069418386,0.20476190476190476,0.22339027269327139,0.14049586776859505,0.5448717948717948,0.13763440860215054,0.048780487804878044,0.021536252692031587,0.008620689655172415
3,5,0.2671755686390654,0.18134715025906736,0.5072463768115942,0.08333332978533965,0.05415162454873646,0.18072289156626506,0.23664121749402717,0.16062176165803108,0.4492753623188406,0.21203438395415472,0.0574712643678161,0.028818443804034585,0.020231213872832374
3,6,0.40281029950035385,0.3659574468085106,0.4479166666666667,0.13636363157868203,0.11294117647058824,0.17204301075268819,0.3559718920062086,0.32340425531914896,0.3958333333333333,0.3006535947712418,0.10471204188481674,0.04062909567496724,0.019685039370078743
3,7,0.4298507413011361,0.39779005524861877,0.4675324675324675,0.12916666178550365,0.11191335740072202,0.15270935960591134,0.4119402935399421,0.3812154696132597,0.44805194805194803,0.3972602739726027,0.12362637362637363,0.04958677685950414,0.03038674033149172
3,8,0.4176334061347647,0.3202846975088968,0.6,0.20661156626850782,0.14231499051233396,0.3768844221105528,0.3897911787565743,0.298932384341637,0.56,0.2087658592848904,0.11085450346420322,0.07745664739884393,0.060185185185185196
3,9,0.35897435418955564,0.2972972972972973,0.45294117647058824,0.14930015076829323,0.12213740458015267,0.192,0.32167831689351833,0.26640926640926643,0.40588235294117647,0.35658914728682173,0.13398058252427186,0.07976653696498053,0.060428849902534096
4,0,0.2641509404043602,0.16168478260869565,0.7212121212121212,0.12020606514940163,0.06981382978723404,0.43209876543209874,0.23973362630891074,0.14673913043478262,0.6545454545454545,0.11254448398576515,0.062305295950155756,0.04318788958147819,0.03697104677060133
4,1,0.346341458774539,0.27307692307692305,0.47333333333333333,0.10526315347463332,0.07852193995381063,0.1596244131455399,0.3219512148721,0.25384615384615383,0.44,0.27138157894736836,0.09555189456342669,0.039603960396039604,0.02314049586776859
4,10,0.3142144592956512,0.2413793103448276,0.45,0.1121212078501379,0.08114035087719298,0.18137254901960784,0.2992518657794417,0.22988505747126436,0.42857142857142855,0.24667651403249627,0.09319526627218937,0.04296296296296295,0.02225519287833828
4,2,0.33004925698112064,0.23183391003460208,0.5726495726495726,0.11782476971732653,0.078,0.24074074074074073,0.29556649836043103,0.20761245674740483,0.5128205128205128,0.16057585825027682,0.06319290465631927,0.03218645948945616,0.01777777777777778
4,3,0.3642384062837157,0.26570048309178745,0.5789473684210527,0.17767653351217572,0.12420382165605096,0.312,0.35761588972742425,0.2608695652173913,0.5684210526315789,0.2540792540792541,0.12149532710280374,0.07962529274004683,0.05868544600938966
4,4,0.24538258248299583,0.15448504983388706,0.5961538461538461,0.0780640097490435,0.04668534080298786,0.23809523809523808,0.22163588063603012,0.13953488372093023,0.5384615384615384,0.1356534090909091,0.05188343994314144,0.024893314366998577,0.011387900355871883
4,5,0.2846441909237049,0.1919191919191919,0.5507246376811594,0.0989583299447972,0.06312292358803986,0.2289156626506024,0.2621722808113454,0.17676767676767677,0.5072463768115942,0.18944844124700239,0.0625,0.026506024096385545,0.01690821256038648
4,6,0.38571428075102043,0.35526315789473684,0.421875,0.1269841221738725,0.10628019323671498,0.15770609318996415,0.34285713789387756,0.3157894736842105,0.375,0.29350649350649344,0.0988296488946684,0.0390625,0.019556714471968713
4,7,0.4285714237428964,0.36160714285714285,0.525974025974026,0.1675774088182854,0.1329479768786127,0.22660098522167488,0.4021163972878699,0.3392857142857143,0.4935064935064935,0.3628318584070797,0.13968957871396895,0.07111111111111111,0.04899777282850779
4,8,0.4382871489508848,0.3522267206477733,0.58,0.21542939908714354,0.15163934426229508,0.37185929648241206,0.41309823207431057,0.3319838056680162,0.5466666666666666,0.19932810750279956,0.10874439461883405,0.07519640852974187,0.05842696629213484
4,9,0.3462414531130495,0.2825278810408922,0.4470588235294118,0.14436089756345769,0.11566265060240964,0.192,0.3234624098328672,0.26394052044609667,0.4176470588235294,0.33156028368794327,0.12433392539964477,0.07295373665480427,0.0552584670231729
