local_file_weight, local_file, rouge-1 f1-score, rouge-1 precision, rouge-1 recall,rouge-2 f1-score, rouge-2 precision, rouge-2 recall, rouge-l f1-score, rouge-l precision, rouge-l recall, bleu-1, bleu-2, bleu-3. bleu-4
1,0,0.2695356708002806,0.16573816155988857,0.7212121212121212,0.12404016292827319,0.07241379310344828,0.43209876543209874,0.24009059718759662,0.14763231197771587,0.6424242424242425,0.11596870685687992,0.06445672191528545,0.045601105481345,0.03870967741935485
1,1,0.35960590667087294,0.28515625,0.4866666666666667,0.11708860312615182,0.0883054892601432,0.17370892018779344,0.3300492564245675,0.26171875,0.44666666666666666,0.2992831541218638,0.11131059245960502,0.05395683453237411,0.03243243243243243
1,10,0.35121950769779897,0.26666666666666666,0.5142857142857142,0.15339232617641696,0.10970464135021098,0.2549019607843137,0.3414634101368233,0.25925925925925924,0.5,0.2582972582972583,0.11705202312138727,0.06801736613603473,0.047826086956521734
1,2,0.33173076518780054,0.23076923076923078,0.5897435897435898,0.12383900553019786,0.08264462809917356,0.24691358024691357,0.29807691903395434,0.20735785953177258,0.5299145299145299,0.16514806378132119,0.06727480045610036,0.0319634703196347,0.018285714285714284
1,3,0.3450704180829697,0.25925925925925924,0.5157894736842106,0.165853654298037,0.11929824561403508,0.272,0.3309859110407162,0.24867724867724866,0.49473684210526314,0.25888324873096447,0.11450381679389313,0.08163265306122448,0.06393861892583122
1,4,0.24769433138506566,0.1558872305140962,0.6025641025641025,0.06776989479514231,0.04060434372049103,0.20476190476190476,0.21870882413868886,0.13764510779436154,0.532051282051282,0.1377072819033886,0.048340548340548344,0.021660649819494584,0.008670520231213872
1,5,0.2671755686390654,0.18134715025906736,0.5072463768115942,0.08333332978533965,0.05415162454873646,0.18072289156626506,0.23664121749402717,0.16062176165803108,0.4492753623188406,0.21203438395415472,0.0574712643678161,0.028818443804034585,0.020231213872832374
1,6,0.4110854454104507,0.36929460580912865,0.4635416666666667,0.14845937899218525,0.12183908045977011,0.18996415770609318,0.36489606896703275,0.3278008298755187,0.4114583333333333,0.30657894736842106,0.11067193675889331,0.043535620052770445,0.021136063408190228
1,7,0.4298507413011361,0.39779005524861877,0.4675324675324675,0.12916666178550365,0.11191335740072202,0.15270935960591134,0.40597014428621075,0.3756906077348066,0.44155844155844154,0.3972602739726027,0.12362637362637363,0.04958677685950414,0.03038674033149172
1,8,0.3999999955061984,0.30344827586206896,0.5866666666666667,0.19047618645556272,0.13203883495145632,0.3417085427135678,0.37272726823347113,0.2827586206896552,0.5466666666666666,0.22305764411027568,0.10790464240903386,0.07286432160804021,0.05786163522012578
1,9,0.35897435418955564,0.2972972972972973,0.45294117647058824,0.14953270552498535,0.12244897959183673,0.192,0.32167831689351833,0.26640926640926643,0.40588235294117647,0.3578336557059962,0.13372093023255813,0.07961165048543689,0.060311284046692615
2,0,0.26621923636360223,0.16323731138545952,0.7212121212121212,0.12275622224889016,0.07142857142857142,0.43621399176954734,0.23713646231438526,0.14540466392318244,0.6424242424242425,0.11416967509025269,0.06275395033860046,0.04426377597109305,0.037505648441030284
