local_file_weight, local_file, rouge-1 f1-score, rouge-1 precision, rouge-1 recall,rouge-2 f1-score, rouge-2 precision, rouge-2 recall, rouge-l f1-score, rouge-l precision, rouge-l recall
15,24,0.27331189291384506,0.19495412844036697,0.45698924731182794,0.06553910813240596,0.044733044733044736,0.1225296442687747,0.24437298616143346,0.1743119266055046,0.40860215053763443
15,25,0.2936096677727366,0.20531400966183574,0.5151515151515151,0.11620111358806542,0.07726597325408618,0.23423423423423423,0.26943004773819434,0.18840579710144928,0.4727272727272727
15,26,0.19999999675885854,0.12554112554112554,0.4915254237288136,0.05726871963566647,0.034528552456839307,0.16774193548387098,0.19655172089678954,0.12337662337662338,0.4830508474576271
15,27,0.23880596537808477,0.19672131147540983,0.3037974683544304,0.030418246314968395,0.023952095808383235,0.041666666666666664,0.1890547215969903,0.1557377049180328,0.24050632911392406
15,28,0.2496371523089141,0.152753108348135,0.6825396825396826,0.08752025699077207,0.05056179775280899,0.3253012048192771,0.24092887944969782,0.14742451154529307,0.6587301587301587
15,29,0.3343108465544672,0.22709163346613545,0.6333333333333333,0.141666662979948,0.09366391184573003,0.2905982905982906,0.3049853333579863,0.20717131474103587,0.5777777777777777
15,3,0.3367697550524912,0.25,0.5157894736842106,0.16075649701837053,0.11409395973154363,0.272,0.32302405058513717,0.23979591836734693,0.49473684210526314
15,30,0.2604651127095728,0.1696969696969697,0.56,0.072752227705315,0.04416666666666667,0.20622568093385213,0.24651162433747975,0.1606060606060606,0.53
15,31,0.3869565170147448,0.31338028169014087,0.5056818181818182,0.15782312472862248,0.12058212058212059,0.2283464566929134,0.3478260822321361,0.28169014084507044,0.45454545454545453
15,32,0.24825174448432688,0.1658878504672897,0.4930555555555556,0.08817203958598695,0.05647382920110193,0.20098039215686275,0.22377622000880243,0.14953271028037382,0.4444444444444444
15,33,0.25626740519890445,0.18548387096774194,0.4144144144144144,0.08396946159547833,0.05851063829787234,0.14864864864864866,0.23398328263623042,0.1693548387096774,0.3783783783783784
15,34,0.2782324017492721,0.19675925925925927,0.4748603351955307,0.0799999960921664,0.054519368723098996,0.15019762845849802,0.2422258551044276,0.1712962962962963,0.4134078212290503
15,35,0.31181101957348883,0.21710526315789475,0.553072625698324,0.08909090559841336,0.057511737089201875,0.1975806451612903,0.2929133817782132,0.20394736842105263,0.5195530726256983
15,36,0.3531914850469896,0.2577639751552795,0.5608108108108109,0.13438734792232354,0.09090909090909091,0.25757575757575757,0.3276595701533726,0.2391304347826087,0.5202702702702703
15,37,0.3980815298412206,0.3562231759656652,0.45108695652173914,0.17749603315302118,0.15384615384615385,0.20973782771535582,0.3597122252848656,0.3218884120171674,0.4076086956521739
15,38,0.3178571387153062,0.22474747474747475,0.5426829268292683,0.1454545416805972,0.09728183118741059,0.288135593220339,0.28571428157244905,0.20202020202020202,0.4878048780487805
15,39,0.24117646603823537,0.18552036199095023,0.3445378151260504,0.055776888003682835,0.041666666666666664,0.08433734939759036,0.2176470542735295,0.167420814479638,0.31092436974789917
15,4,0.24866309830306846,0.1570945945945946,0.5961538461538461,0.06902086397099944,0.041505791505791506,0.20476190476190476,0.2192513335971861,0.13851351351351351,0.5256410256410257
15,40,0.25117739033607794,0.16632016632016633,0.5128205128205128,0.08548707432526129,0.053482587064676616,0.21287128712871287,0.229199368358056,0.15176715176715178,0.46794871794871795
15,41,0.24568137815554766,0.16494845360824742,0.48120300751879697,0.05847952879926151,0.03720238095238095,0.1366120218579235,0.21497120541082596,0.14432989690721648,0.42105263157894735
15,42,0.21860464705851818,0.15359477124183007,0.3790322580645161,0.05919002745775976,0.03917525773195876,0.12101910828025478,0.20930232147712283,0.14705882352941177,0.3629032258064516
15,43,0.23556058589104117,0.14444444444444443,0.6380368098159509,0.06604866508685923,0.03822937625754527,0.2425531914893617,0.20838051794087128,0.12777777777777777,0.5644171779141104
15,44,0.2654205561354879,0.20760233918128654,0.36787564766839376,0.08222490487170477,0.06159420289855073,0.12363636363636364,0.2542056028644598,0.19883040935672514,0.35233160621761656
15,45,0.32024168769945516,0.2264957264957265,0.5463917525773195,0.133828992715344,0.08716707021791767,0.288,0.29003020733691737,0.20512820512820512,0.4948453608247423
15,46,0.21522842342190732,0.1315136476426799,0.5921787709497207,0.07898893936364619,0.04512635379061372,0.31645569620253167,0.2071065960107398,0.12655086848635236,0.5698324022346368
15,47,0.24999999660724254,0.15954415954415954,0.5773195876288659,0.05374822924203123,0.03209459459459459,0.16521739130434782,0.2410714251786711,0.15384615384615385,0.5567010309278351
15,48,0.42723004242842033,0.32616487455197135,0.6190476190476191,0.2511210719482708,0.1822125813449024,0.40384615384615385,0.40375586402466446,0.30824372759856633,0.5850340136054422
15,49,0.2882615122894759,0.18233082706766918,0.6879432624113475,0.11669367616243187,0.07100591715976332,0.32727272727272727,0.2555720620665932,0.16165413533834586,0.6099290780141844
15,5,0.2671755686390654,0.18134715025906736,0.5072463768115942,0.08333332978533965,0.05415162454873646,0.18072289156626506,0.23664121749402717,0.16062176165803108,0.4492753623188406
15,50,0.16460904929465367,0.11764705882352941,0.273972602739726,0.032258060422685225,0.02262443438914027,0.056179775280898875,0.16460904929465367,0.11764705882352941,0.273972602739726
15,51,0.27906976376559123,0.18426103646833014,0.5748502994011976,0.09204367856980498,0.057392996108949414,0.23228346456692914,0.24709301957954474,0.16314779270633398,0.5089820359281437
15,52,0.3412526952346655,0.26245847176079734,0.4876543209876543,0.09625668033972966,0.06818181818181818,0.16363636363636364,0.3153347686687908,0.2425249169435216,0.4506172839506173
15,53,0.20643728954031837,0.11953727506426735,0.7560975609756098,0.06755126477467881,0.03755868544600939,0.33532934131736525,0.1820199754448689,0.10539845758354756,0.6666666666666666
15,54,0.1504424741040803,0.10059171597633136,0.2982456140350877,0.055363318237569216,0.036036036036036036,0.11940298507462686,0.11504424401558475,0.07692307692307693,0.22807017543859648
15,55,0.2579505257501031,0.18717948717948718,0.4147727272727273,0.058624573129851615,0.04113924050632911,0.10196078431372549,0.2155476988949794,0.1564102564102564,0.3465909090909091
15,56,0.1138952141751029,0.06527415143603134,0.44642857142857145,0.022807705722771764,0.012592270950933565,0.12083333333333333,0.10782080263372099,0.06179286335944299,0.4226190476190476
