local_file, rouge-1 f1-score, rouge-1 precision, rouge-1 recall,rouge-2 f1-score, rouge-2 precision, rouge-2 recall, rouge-l f1-score, rouge-l precision, rouge-l recall, bleu-1, bleu-2, bleu-3, bleu-4
0,0.20913461149454515,0.14215686274509803,0.39545454545454545,0.06417111941226097,0.04187437686939183,0.13725490196078433,0.20192307303300674,0.13725490196078433,0.38181818181818183,0.18783679753656662,0.05469953775038521,0.03161141094834233,0.02237654320987654
1,0.23010752318057587,0.15242165242165243,0.4692982456140351,0.08695651836035453,0.05540661304736372,0.20195439739413681,0.20860214683648978,0.13817663817663817,0.42543859649122806,0.17634996582365003,0.07318741450068399,0.04585900068446269,0.03835616438356164
10,0.358974354714004,0.5833333333333334,0.25925925925925924,0.15094339231362755,0.2828282828282828,0.10294117647058823,0.32234431808396735,0.5238095238095238,0.2328042328042328,0.1290384802414248,0.05574462346429552,0.04178541357693781,0.03340958775481543
100,0.3461538413296274,0.291497975708502,0.4260355029585799,0.08359132648448685,0.06923076923076923,0.10546875,0.2980769182527043,0.25101214574898784,0.3668639053254438,0.35390199637023595,0.0818181818181818,0.030965391621129334,0.01824817518248175
1000,0.41297934605964104,0.38461538461538464,0.445859872611465,0.13360323388737744,0.12547528517110265,0.14285714285714285,0.37758111597114546,0.3516483516483517,0.40764331210191085,0.46846846846846846,0.1536144578313253,0.09365558912386708,0.0818181818181818
1001,0.3235294072568243,0.2462686567164179,0.4714285714285714,0.1199999958123552,0.08552631578947369,0.20103092783505155,0.30882352490388315,0.23507462686567165,0.45,0.23781388478581983,0.09467455621301774,0.050370370370370364,0.040059347181008904
1002,0.3155216245828721,0.2152777777777778,0.5904761904761905,0.11143694688384183,0.07011070110701106,0.2714285714285714,0.3002544490103529,0.2048611111111111,0.5619047619047619,0.14332247557003255,0.06847826086956521,0.04352557127312297,0.0326797385620915
1003,0.23886639259715783,0.16954022988505746,0.4041095890410959,0.05830164395970601,0.03859060402684564,0.11917098445595854,0.22267206061335215,0.15804597701149425,0.3767123287671233,0.183698296836983,0.05359317904993909,0.015853658536585366,0.006105006105006104
1004,0.23001948928088037,0.15649867374005305,0.4338235294117647,0.07329842566267392,0.04827586206896552,0.15217391304347827,0.2105263118929662,0.14323607427055704,0.39705882352941174,0.19554455445544555,0.07063197026022307,0.03225806451612903,0.01614906832298137
1005,0.10880828712072817,0.06687898089171974,0.2916666666666667,0.01587301358523591,0.009140767824497258,0.060240963855421686,0.1036269399704691,0.06369426751592357,0.2777777777777778,0.07387862796833773,0.013210039630118886,0.002645502645502645,2.2250738585072626e-308
