local_file_weight, local_file, rouge-1 f1-score, rouge-1 precision, rouge-1 recall,rouge-2 f1-score, rouge-2 precision, rouge-2 recall, rouge-l f1-score, rouge-l precision, rouge-l recall
1,0,0.2660753850373155,0.1628222523744912,0.7272727272727273,0.12041284163828411,0.06995336442371752,0.43209876543209874,0.23725055133443299,0.1451831750339213,0.6484848484848484
1,1,0.36228287373852436,0.2885375494071146,0.4866666666666667,0.12159999550689299,0.09223300970873786,0.1784037558685446,0.32754341964423156,0.2608695652173913,0.44
1,2,0.33173076518780054,0.23076923076923078,0.5897435897435898,0.12383900553019786,0.08264462809917356,0.24691358024691357,0.29807691903395434,0.20735785953177258,0.5299145299145299
1,3,0.3443708566148415,0.25120772946859904,0.5473684210526316,0.1666666625541196,0.11726384364820847,0.288,0.3377483400585501,0.2463768115942029,0.5368421052631579
2,0,0.2671155974311012,0.16391184573002754,0.7212121212121212,0.12347116821654981,0.07191316146540028,0.43621399176954734,0.23793490158373864,0.14600550964187328,0.6424242424242425
2,1,0.3543689274083326,0.2786259541984733,0.4866666666666667,0.11059907393828725,0.0821917808219178,0.16901408450704225,0.33009708274813837,0.2595419847328244,0.4533333333333333
2,2,0.3301435366386988,0.2292358803986711,0.5897435897435898,0.12257099782447545,0.08086785009861933,0.25308641975308643,0.2966507136721916,0.2059800664451827,0.5299145299145299
2,3,0.3443708566148415,0.25120772946859904,0.5473684210526316,0.1666666625541196,0.11726384364820847,0.288,0.3377483400585501,0.2463768115942029,0.5368421052631579
3,0,0.2699662511951473,0.16574585635359115,0.7272727272727273,0.1236872787800583,0.07205982324949015,0.43621399176954734,0.24071990698817322,0.1477900552486188,0.6484848484848484
3,1,0.3543689274083326,0.2786259541984733,0.4866666666666667,0.11059907393828725,0.0821917808219178,0.16901408450704225,0.33009708274813837,0.2595419847328244,0.4533333333333333
3,2,0.33093524776150307,0.23,0.5897435897435898,0.11940298140806428,0.07874015748031496,0.24691358024691357,0.2973621062746925,0.20666666666666667,0.5299145299145299
3,3,0.3501683458173203,0.25742574257425743,0.5473684210526316,0.16901408036048854,0.11960132890365449,0.288,0.3434343390833135,0.2524752475247525,0.5368421052631579
4,0,0.2641509404043602,0.16168478260869565,0.7212121212121212,0.12020606514940163,0.06981382978723404,0.43209876543209874,0.23973362630891074,0.14673913043478262,0.6545454545454545
4,1,0.346341458774539,0.27307692307692305,0.47333333333333333,0.10526315347463332,0.07852193995381063,0.1596244131455399,0.3219512148721,0.25384615384615383,0.44
4,2,0.33004925698112064,0.23183391003460208,0.5726495726495726,0.11782476971732653,0.078,0.24074074074074073,0.29556649836043103,0.20761245674740483,0.5128205128205128
4,3,0.3642384062837157,0.26570048309178745,0.5789473684210527,0.17767653351217572,0.12420382165605096,0.312,0.35761588972742425,0.2608695652173913,0.5684210526315789
