local_file_weight, rouge_1_f1_score, rouge_1_precision, rouge_1_recall, rouge_2_f1_score, rouge_2_precision, rouge_2_recall, rouge_l_f1_score, rouge_l_precision, rouge_l_recall, bleu_1, bleu_2, bleu_3, bleu_4
97.2, 0.284836, 0.217722, 0.505542, 0.106674, 0.079468, 0.223695, 0.26153, 0.199494, 0.466256, 0.202837, 0.0784512, 0.0436325, 0.0310336
97.3, 0.284953, 0.217894, 0.505236, 0.106649, 0.0794063, 0.223678, 0.26153, 0.199572, 0.465811, 0.202813, 0.0783244, 0.0435022, 0.0309139
97.4, 0.284823, 0.217576, 0.505311, 0.106542, 0.0793635, 0.223518, 0.261445, 0.19932, 0.465932, 0.202534, 0.0781859, 0.0433823, 0.0308933
97.5, 0.284665, 0.21725, 0.504997, 0.106473, 0.0792466, 0.223226, 0.261565, 0.199268, 0.465997, 0.203038, 0.0782712, 0.0434316, 0.0308763
97.6, 0.284874, 0.217429, 0.505204, 0.106581, 0.0793214, 0.223469, 0.261783, 0.199444, 0.466258, 0.203046, 0.0782992, 0.0434292, 0.0308497
97.7, 0.285755, 0.218816, 0.505677, 0.107745, 0.0814322, 0.224042, 0.262658, 0.200824, 0.466736, 0.203276, 0.0787113, 0.0437875, 0.0311708
97.8, 0.285851, 0.218805, 0.506208, 0.107777, 0.0814071, 0.224516, 0.262748, 0.200827, 0.467162, 0.203086, 0.0787615, 0.0438035, 0.03119
97.9, 0.285865, 0.21876, 0.50632, 0.107748, 0.0813587, 0.224622, 0.26277, 0.2008, 0.467261, 0.202839, 0.0787063, 0.0437801, 0.0311727
98, 0.28618, 0.218563, 0.5071, 0.10762, 0.0809817, 0.224763, 0.263231, 0.200757, 0.468214, 0.203476, 0.0789035, 0.043903, 0.031282
98.1, 0.286367, 0.218588, 0.507327, 0.107654, 0.0809421, 0.224878, 0.263439, 0.200805, 0.468533, 0.203278, 0.0789145, 0.0438984, 0.0312589
98.2, 0.286701, 0.218875, 0.507677, 0.107746, 0.0810139, 0.224983, 0.263968, 0.201249, 0.469111, 0.203238, 0.0789802, 0.0438884, 0.0312472
98.3, 0.286932, 0.219045, 0.508069, 0.107885, 0.0810998, 0.225393, 0.264271, 0.201475, 0.469609, 0.203315, 0.0790439, 0.0439172, 0.0312755
98.4, 0.287098, 0.219204, 0.507938, 0.108097, 0.0812363, 0.225726, 0.264395, 0.20161, 0.46934, 0.20308, 0.0791072, 0.0439908, 0.0313396
98.5, 0.287001, 0.219142, 0.507676, 0.108098, 0.0812403, 0.225699, 0.264354, 0.20159, 0.469144, 0.202968, 0.0790962, 0.0440637, 0.0313744
98.6, 0.287417, 0.219372, 0.508742, 0.108151, 0.0812468, 0.225868, 0.264779, 0.201841, 0.47018, 0.202722, 0.0790579, 0.0439765, 0.031312
98.7, 0.287283, 0.219289, 0.508423, 0.108129, 0.0812327, 0.225864, 0.264799, 0.20186, 0.470199, 0.202481, 0.0789126, 0.0438823, 0.0312286
98.8, 0.286712, 0.218714, 0.50722, 0.10749, 0.0807718, 0.224156, 0.264186, 0.201268, 0.468888, 0.202009, 0.0785418, 0.0435502, 0.0309543
98.9, 0.286973, 0.218942, 0.507403, 0.10759, 0.0808386, 0.22438, 0.264426, 0.201481, 0.469022, 0.201968, 0.0785062, 0.0435785, 0.0309512
99, 0.286864, 0.218865, 0.507064, 0.107532, 0.0808613, 0.224018, 0.264344, 0.201437, 0.468678, 0.20181, 0.0784931, 0.0434856, 0.0308185
99.1, 0.287485, 0.219487, 0.507631, 0.107707, 0.0810428, 0.224084, 0.26466, 0.201841, 0.468673, 0.201644, 0.0786648, 0.0435286, 0.0307758
99.2, 0.287113, 0.219104, 0.507844, 0.107611, 0.080913, 0.224548, 0.264504, 0.201634, 0.469171, 0.201235, 0.0784354, 0.0434015, 0.0306112
99.3, 0.286793, 0.218907, 0.507042, 0.107325, 0.0807918, 0.223896, 0.264165, 0.201428, 0.468333, 0.200915, 0.0782135, 0.0432146, 0.0304456
99.4, 0.287106, 0.218853, 0.507854, 0.108247, 0.0814018, 0.225803, 0.265082, 0.201853, 0.469936, 0.200452, 0.0786458, 0.0437431, 0.031108
99.5, 0.286997, 0.218732, 0.50776, 0.108287, 0.0814198, 0.225851, 0.264965, 0.20167, 0.47006, 0.200137, 0.0786535, 0.0437964, 0.0310626
99.6, 0.287444, 0.218833, 0.509021, 0.10818, 0.081238, 0.226159, 0.265584, 0.201955, 0.471399, 0.199217, 0.0785372, 0.0436991, 0.0309467
99.7, 0.287684, 0.219099, 0.509147, 0.108646, 0.0815085, 0.226602, 0.265417, 0.201879, 0.470933, 0.199841, 0.0789145, 0.0441851, 0.0315079
99.8, 0.287456, 0.218677, 0.509276, 0.108583, 0.0811954, 0.227449, 0.265203, 0.201478, 0.471096, 0.198907, 0.0787399, 0.0440536, 0.0313916
99.9, 0.287338, 0.218607, 0.509491, 0.108917, 0.0810698, 0.229208, 0.264782, 0.200992, 0.471315, 0.197279, 0.0783511, 0.0438601, 0.0311996
100, 0.287743, 0.218885, 0.510368, 0.109071, 0.0811559, 0.229784, 0.265593, 0.201603, 0.472664, 0.197587, 0.0788562, 0.0440466, 0.0313031
