local_file_weight, local_file, rouge-1 f1-score, rouge-1 precision, rouge-1 recall,rouge-2 f1-score, rouge-2 precision, rouge-2 recall, rouge-l f1-score, rouge-l precision, rouge-l recall, bleu-1, bleu-2, bleu-3, bleu-4
90.0,0,0.2678774089875683,0.164804469273743,0.7151515151515152,0.12522361111760397,0.07322175732217573,0.43209876543209874,0.23836549071288046,0.14664804469273743,0.6363636363636364,0.11674418604651164,0.06514657980456028,0.04608938547486033,0.03912435957149511
90.0,1,0.35960590667087294,0.28515625,0.4866666666666667,0.11708860312615182,0.0883054892601432,0.17370892018779344,0.3300492564245675,0.26171875,0.44666666666666666,0.2992831541218638,0.11131059245960502,0.05395683453237411,0.03243243243243243
90.0,10,0.34951455862003966,0.2647058823529412,0.5142857142857142,0.1461988262234535,0.10416666666666667,0.24509803921568626,0.33980582075596194,0.25735294117647056,0.5,0.2575976845151954,0.11449275362318839,0.06531204644412193,0.04505813953488371
90.0,11,0.26923076429733733,0.2413793103448276,0.30434782608695654,0.13402061367626758,0.11607142857142858,0.15853658536585366,0.26923076429733733,0.2413793103448276,0.30434782608695654,0.2978723404255319,0.11428571428571427,0.06474820143884892,0.03623188405797102
90.0,12,0.3438913979410741,0.2835820895522388,0.4367816091954023,0.12844036232640368,0.10144927536231885,0.175,0.30769230291844973,0.2537313432835821,0.39080459770114945,0.342685370741483,0.1345381526104418,0.0784708249496982,0.058467741935483854
90.0,13,0.23404255031090992,0.14175257731958762,0.6707317073170732,0.08865860445357888,0.05126498002663116,0.3276595744680851,0.21914893328963334,0.1327319587628866,0.6280487804878049,0.12078239608801958,0.059686888454011745,0.032305433186490456,0.021547502448579826
90.0,14,0.28571428073536864,0.2682926829268293,0.3055555555555556,0.05291004795050577,0.04854368932038835,0.05813953488372093,0.2337662287873167,0.21951219512195122,0.25,0.3307086614173228,0.07142857142857141,0.04000000000000001,0.024193548387096777
90.0,15,0.261997402514295,0.16833333333333333,0.5906432748538012,0.09084248786897996,0.05550581915846016,0.25,0.2516212676245414,0.16166666666666665,0.5672514619883041,0.16860863605209048,0.07064471879286693,0.043925875085792716,0.03434065934065935
90.0,16,0.4401544351873109,0.4789915966386555,0.40714285714285714,0.21301774650047278,0.22784810126582278,0.2,0.39382238885526455,0.42857142857142855,0.36428571428571427,0.49758516232712424,0.23979438432184375,0.15516892920388584,0.11897697066688219
90.0,17,0.347150254351392,0.2803347280334728,0.4557823129251701,0.12020032939819024,0.09113924050632911,0.17647058823529413,0.3108808242995786,0.2510460251046025,0.40816326530612246,0.3118081180811808,0.10720887245841038,0.06666666666666667,0.04823747680890539
90.0,18,0.3269961932912143,0.24431818181818182,0.4942528735632184,0.12568305601764773,0.08812260536398467,0.21904761904761905,0.296577942340644,0.2215909090909091,0.4482758620689655,0.2433234421364985,0.09523809523809525,0.05074626865671641,0.020958083832335325
90.0,19,0.3095722985097955,0.18811881188118812,0.8735632183908046,0.2042213324499863,0.11870026525198939,0.7306122448979592,0.3034623188763943,0.1844059405940594,0.8563218390804598,0.13753581661891118,0.11466794075489731,0.09464627151051624,0.08225729316116691
90.0,2,0.3269230728801082,0.22742474916387959,0.5811965811965812,0.12364760057380526,0.08247422680412371,0.24691358024691357,0.2932692267262621,0.2040133779264214,0.5213675213675214,0.16477272727272724,0.06598407281001137,0.03189066059225513,0.01824401368301027
90.0,20,0.28119799960707476,0.1867403314917127,0.569023569023569,0.11148165457473919,0.07086614173228346,0.2611607142857143,0.2695507450313676,0.17900552486187846,0.5454545454545454,0.19131197893813076,0.08077260755048288,0.05314009661835749,0.04876977152899825
90.0,21,0.24611708186956605,0.15014577259475217,0.6821192052980133,0.09317585060432905,0.05419847328244275,0.3317757009345794,0.23178016430684203,0.141399416909621,0.6423841059602649,0.11710239651416125,0.052316076294277945,0.025081788440567073,0.01745771958537916
90.0,22,0.2993197245160442,0.19064124783362218,0.6962025316455697,0.12374100454949542,0.07337883959044368,0.3944954128440367,0.2857142823391735,0.18197573656845753,0.6645569620253164,0.1444866920152091,0.07419150285351934,0.04505076142131981,0.03619047619047619
90.0,23,0.3072100268007881,0.236144578313253,0.43946188340807174,0.08502415021804031,0.06276747503566334,0.1317365269461078,0.2633228794653649,0.20240963855421687,0.37668161434977576,0.27872340425531916,0.08839190628328007,0.03411513859275054,0.016008537886872995
90.0,24,0.27228524700393236,0.19489559164733178,0.45161290322580644,0.06688241242825531,0.04599406528189911,0.1225296442687747,0.2463533183167363,0.17633410672853828,0.40860215053763443,0.22577092511013216,0.06284454244762955,0.02649006622516557,0.011049723756906075
90.0,25,0.29999999592895366,0.20963855421686747,0.5272727272727272,0.11441143745253746,0.07569141193595343,0.23423423423423423,0.27931034075653993,0.19518072289156627,0.4909090909090909,0.21830209481808158,0.09381898454746135,0.05856353591160222,0.04867256637168141
90.0,26,0.19453924593041275,0.12179487179487179,0.4830508474576271,0.0541125513203699,0.032509752925877766,0.16129032258064516,0.1911262766471363,0.11965811965811966,0.4745762711864407,0.12335216572504708,0.04147031102733271,0.01792452830188679,0.007554296506137867
90.0,27,0.23880596537808477,0.19672131147540983,0.3037974683544304,0.030418246314968395,0.023952095808383235,0.041666666666666664,0.1890547215969903,0.1557377049180328,0.24050632911392406,0.23589743589743592,0.02061855670103093,2.2250738585072626e-308,2.2250738585072626e-308
90.0,28,0.2532751061749395,0.15508021390374332,0.6904761904761905,0.09298531576633523,0.05377358490566038,0.3433734939759036,0.24454148172079096,0.1497326203208556,0.6666666666666666,0.11520737327188942,0.06258234519104083,0.03295978905735003,0.021767810026385222
90.0,29,0.3343108465544672,0.22709163346613545,0.6333333333333333,0.141666662979948,0.09366391184573003,0.2905982905982906,0.3049853333579863,0.20717131474103587,0.5777777777777777,0.20920502092050208,0.10062893081761005,0.06512605042016807,0.04842105263157894
90.0,3,0.3450704180829697,0.25925925925925924,0.5157894736842106,0.165853654298037,0.11929824561403508,0.272,0.3309859110407162,0.24867724867724866,0.49473684210526314,0.25888324873096447,0.11450381679389313,0.08163265306122448,0.06393861892583122
